Club, Rank, Country, Points, Change from Last year
Real Madrid, 1, Spain, 2062, 2
Barcelona, 2, Spain, 2051, 1n
Bayern München, 3, Germany, 1972, 1n
Juventus, 4, Italy, 1966, 1
Paris Saint Germain, 5, France, 1966, 1
Manchester City, 6, England, 1964, 7
SSC Napoli, 7, Italy, 1942, 5
Tottenham Hotspur, 8, England, 1931, 11
Chelsea, 9, England, 1906, 18
Atlético Madrid, 10, Spain, 1898, 6n
Manchester United, 11, England, 1895, 15
Roma, 12, Italy, 1891, 3n
Arsenal, 13, England, 1819, 1
Liverpool FC, 14, England, 1809, 16
Shakhtar Donetsk, 15, Ukraine, 1804, 7
PSV Eindhoven, 16, Netherlands, 1795, 7n
Monaco, 17, France, 1795, 23
Borussia Dortmund, 18, Germany, 1789, 10n
Lazio, 19, Italy, 1781, 36
Inter Milan, 20, Italy, 1778, 24
FC Porto, 21, Portugal, 1778, 4
Beşiktaş, 22, Turkey, 1752, 40
RasenBallsport Leipzig, 23, Germany, 1750, 242
Ajax, 24, Netherlands, 1748, 8n
Valencia, 25, Spain, 1745, 60
Sporting, 26, Portugal, 1744, 11n
Boca Juniors, 27, Argentina, 1743, 113
Villarreal, 28, Spain, 1741, 5
Benfica, 29, Portugal, 1741, 22n
Celtic, 30, Scotland, 1741, 26
Lyon, 31, France, 1737, 6
Hoffenheim, 32, Germany, 1722, 113
Sevilla, 33, Spain, 1713, 1n
Dynamo Kyiv, 34, Ukraine, 1712, 16n
Atalanta, 35, Italy, 1708, 125
Zenit St. Petersburg, 36, Russia, 1707, 5n
Viktoria Plzeň, 37, Czech Republic, 1704, 2n
Ludogorets Razgrad, 38, Bulgaria, 1696, 30
Olympique Marseille, 39, France, 1692, 62
Bayer Leverkusen, 40, Germany, 1691, 23n
Schalke 04, 41, Germany, 1691, 0
Borussia Mönchengladbach, 42, Germany, 1689, 18n
Palmeiras, 43, Brazil, 1686, 47
Real Sociedad, 44, Spain, 1684, 16
Levadia Tallinn, 45, Estonia, 1679, 1
Athletic Bilbao, 46, Spain, 1679, 25n
Basel, 47, Switzerland, 1676, 1
Grêmio, 48, Brazil, 1672, 17
Al Hilal, 49, Saudi Arabia, 1672, 80
Crvena Zvezda, 50, Serbia, 1670, 16
